Date,Close
2025-01-01,238.8618152548013
2025-01-02,238.91697256875668
2025-01-03,240.30866118878689
2025-01-04,237.13037337032995
2025-01-05,239.83726459514187
2025-01-06,241.3795204114353
2025-01-07,239.6368489066412
2025-01-08,240.8612675303671
2025-01-09,244.88562319604983
2025-01-10,242.64768248524229
2025-01-11,242.49089962104912
2025-01-12,238.80650229367052
2025-01-13,239.7066679322992
2025-01-14,237.1857821483545
2025-01-15,240.27103151246823
2025-01-16,238.51016600080143
2025-01-17,241.42405250474948
2025-01-18,244.8411419972653
2025-01-19,239.51389778577615
2025-01-20,242.95947917107065
2025-01-21,247.54562739942676
2025-01-22,237.9521482436579
2025-01-23,237.52962383327935
2025-01-24,243.72649509146362
2025-01-25,244.73837237580585
2025-01-26,244.13672740740805
2025-01-27,241.36255470888236
2025-01-28,243.56173756909715
2025-01-29,236.47434889447146
2025-01-30,242.87507746244447
2025-01-31,243.3323560012544
2025-02-01,247.3691786159036
2025-02-02,248.78325409168485
2025-02-03,248.39904776633054
2025-02-04,242.70703472858642
2025-02-05,243.14297748702765
2025-02-06,242.09648525930083
2025-02-07,244.54618721298604
2025-02-08,246.11953442883728
2025-02-09,245.75159952416348
2025-02-10,242.47826249508273
2025-02-11,249.98689585892546
2025-02-12,246.16367012773736
2025-02-13,242.7236822745214
2025-02-14,248.04718407865542
2025-02-15,242.64125969292684
2025-02-16,248.5060921948343
2025-02-17,241.3420180977505
2025-02-18,243.33149322185128
2025-02-19,246.27625856975988
2025-02-20,246.7463784788212
2025-02-21,243.50634760422037
2025-02-22,242.1252096696667
2025-02-23,240.06905655696735
2025-02-24,247.14132757806465
2025-02-25,245.80254318519377
2025-02-26,249.13141604135095
2025-02-27,242.06929632878277
2025-02-28,248.5629534093872
2025-03-01,239.05810517297587
2025-03-02,242.354455762997
2025-03-03,245.21266054625394
2025-03-04,241.55126397215474
2025-03-05,244.98089383632248
2025-03-06,248.42560944730633
2025-03-07,250.06449796737283
2025-03-08,247.8017808419432
2025-03-09,241.0623040691482
2025-03-10,241.1662102931689
2025-03-11,249.13469525284106
2025-03-12,248.03307059258327
2025-03-13,246.1180683551164
2025-03-14,249.05301053630177
2025-03-15,247.9351146479527
2025-03-16,256.18300009227045
2025-03-17,245.47945856056546
2025-03-18,245.88455582012193
2025-03-19,249.41256823517307
2025-03-20,247.15180599098312
2025-03-21,246.85219018720773
2025-03-22,253.01532004408656
2025-03-23,246.47987603466638
2025-03-24,238.84324825794067
2025-03-25,248.28535800729557
2025-03-26,244.739311581253
